time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:06.022000,271,6,21000000,map,107804.70753,0.0
1970/01/01/01:00:06.043000,272,6,42000000,map,107917.610748,0.0
1970/01/01/01:00:06.064000,273,6,63000000,map,107738.530039,0.0
1970/01/01/01:00:06.085000,274,6,84000000,map,107850.546342,0.0
1970/01/01/01:00:06.106000,275,6,105000000,map,107913.075535,0.0
1970/01/01/01:00:06.127000,276,6,126000000,map,107716.896095,0.0
1970/01/01/01:00:06.148000,277,6,147000000,map,107831.928393,0.0
1970/01/01/01:00:06.169000,278,6,168000000,map,107681.955309,0.0
1970/01/01/01:00:06.190000,279,6,189000000,map,107887.140748,0.0
1970/01/01/01:00:06.211000,280,6,211000000,map,107799.490897,0.0
1970/01/01/01:00:06.232000,281,6,231000000,map,107666.953683,0.0
1970/01/01/01:00:06.253000,282,6,252000000,map,107851.586839,0.0
1970/01/01/01:00:06.274000,283,6,273000000,map,107820.154381,0.0
1970/01/01/01:00:06.295000,284,6,294000000,map,107733.451851,0.0
1970/01/01/01:00:06.316000,285,6,315000000,map,107817.98606,0.0
1970/01/01/01:00:06.337000,286,6,336000000,map,107876.451457,0.0
1970/01/01/01:00:06.358000,287,6,357000000,map,107785.003489,0.0
1970/01/01/01:00:06.379000,288,6,378000000,map,107761.540833,0.0
1970/01/01/01:00:06.400000,289,6,399000000,map,107795.620265,0.0
1970/01/01/01:00:06.421000,290,6,420000000,map,107669.424426,0.0
1970/01/01/01:00:06.442000,291,6,441000000,map,107720.386867,0.0
1970/01/01/01:00:06.463000,292,6,462000000,map,107853.071883,0.0
1970/01/01/01:00:06.484000,293,6,483000000,map,107714.842847,0.0
1970/01/01/01:00:06.505000,294,6,504000000,map,107774.131818,0.0
1970/01/01/01:00:06.526000,295,6,525000000,map,107679.960565,0.0
1970/01/01/01:00:06.547000,296,6,546000000,map,107758.35488,0.0
1970/01/01/01:00:06.567000,297,6,567000000,map,107696.447392,0.0
1970/01/01/01:00:06.589000,298,6,588000000,map,107852.929203,0.0
1970/01/01/01:00:06.610000,299,6,609000000,map,107628.687226,0.0
1970/01/01/01:00:06.631000,300,6,630000000,map,107685.633195,0.0
1970/01/01/01:00:06.652000,301,6,651000000,map,107677.435108,0.0
1970/01/01/01:00:06.673000,302,6,672000000,map,107550.097197,0.0
1970/01/01/01:00:06.694000,303,6,693000000,map,107816.655493,0.0
1970/01/01/01:00:06.715000,304,6,714000000,map,107631.674345,0.0
1970/01/01/01:00:06.736000,305,6,735000000,map,107731.107835,0.0
1970/01/01/01:00:06.757000,306,6,756000000,map,107826.225451,0.0
1970/01/01/01:00:06.778000,307,6,777000000,map,107633.505861,0.0
1970/01/01/01:00:06.799000,308,6,798000000,map,107660.355085,0.0
1970/01/01/01:00:06.820000,309,6,819000000,map,107520.62151,0.0
1970/01/01/01:00:06.841000,310,6,840000000,map,107684.388121,0.0
1970/01/01/01:00:06.862000,311,6,861000000,map,107688.618249,0.0
1970/01/01/01:00:06.883000,312,6,882000000,map,107732.171539,0.0
1970/01/01/01:00:06.904000,313,6,903000000,map,107736.432651,0.0
1970/01/01/01:00:06.925000,314,6,924000000,map,107492.0523,0.0
1970/01/01/01:00:06.946000,315,6,945000000,map,107663.585529,0.0
1970/01/01/01:00:06.967000,316,6,966000000,map,107839.985959,0.0
1970/01/01/01:00:06.988000,317,6,987000000,map,107526.414793,0.0
1970/01/01/01:00:07.009000,318,7,8000000,map,107624.526752,0.0
1970/01/01/01:00:07.030000,319,7,29000000,map,107815.454421,0.0
1970/01/01/01:00:07.051000,320,7,50000000,map,107704.084256,0.0
1970/01/01/01:00:07.072000,321,7,71000000,map,107652.76893,0.0
1970/01/01/01:00:07.093000,322,7,92000000,map,107558.512333,0.0
